"Gene ID"	"Mouse_resection_12hr_1"	"Mouse_resection_12hr_2"	"Mouse_resection_12hr_3"	"Mouse_resection_24hr_1"	"Mouse_resection_24hr_2"	"Mouse_resection_24hr_3"	"Mouse_resection_48hr_1"	"Mouse_resection_48hr_2"	"Mouse_resection_48hr_3"	"Mouse_sham_12hr_1"	"Mouse_sham_12hr_2"	"Mouse_sham_12hr_3"	"Mouse_sham_24hr_1"	"Mouse_sham_24hr_2"	"Mouse_sham_24hr_3"	"Mouse_sham_48hr_1"	"Mouse_sham_48hr_2"	"Mouse_sham_48hr_3"
"ENSMUSG00000045201"	154	154	341	285	92	150	443	535	762	579	207	210	332	565	177	731	168	595
"ENSMUSG00000045202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045204"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045205"	842	902	1465	885	646	772	1781	1556	2211	2251	820	920	1505	2015	1253	2723	570	2193
"ENSMUSG00000045210"	709	952	1129	605	447	557	1294	1264	2076	1808	615	659	971	1320	722	1542	358	1618
"ENSMUSG00000045211"	44	74	71	97	27	41	64	92	173	150	35	37	84	104	46	108	27	122
"ENSMUSG00000045215"	33	38	88	50	37	48	89	81	129	167	73	77	85	144	101	130	41	213
"ENSMUSG00000045216"	282	360	353	428	153	197	398	495	655	700	262	233	370	562	289	562	125	752
"ENSMUSG00000045217"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045225"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045231"	14	3	16	7	7	4	12	8	16	13	5	5	9	15	8	12	8	26
"ENSMUSG00000045232"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"ENSMUSG00000045236"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045237"	221	161	214	404	116	140	303	264	431	502	199	217	277	441	219	487	107	363
"ENSMUSG00000045238"	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0
"ENSMUSG00000045246"	0	0	1	1	0	0	2	0	2	1	0	0	2	1	0	3	2	1
"ENSMUSG00000045248"	55	125	149	114	31	95	114	99	149	198	53	47	59	120	79	107	24	169
"ENSMUSG00000045251"	35	33	67	60	24	19	57	45	76	65	26	20	61	61	29	71	18	78
"ENSMUSG00000045252"	155	209	192	170	55	103	214	234	376	509	194	131	274	368	127	336	68	311
"ENSMUSG00000045257"	4	12	4	17	3	35	32	30	37	87	13	18	18	64	43	66	16	70
"ENSMUSG00000045259"	0	6	4	1	1	1	1	3	0	7	3	1	5	0	0	0	1	2
"ENSMUSG00000045267"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045268"	79	154	147	69	48	89	129	132	166	280	54	83	118	136	64	180	40	215
"ENSMUSG00000045273"	40	56	35	40	10	42	98	106	158	140	60	39	94	197	66	176	38	200
"ENSMUSG00000045275"	20	29	20	28	17	32	26	35	42	69	24	15	48	61	27	84	10	81
"ENSMUSG00000045281"	1	6	7	4	1	3	12	10	6	19	5	6	14	20	2	15	3	14
"ENSMUSG00000045282"	50	60	147	65	27	41	57	92	108	119	51	32	64	110	38	64	15	90
"ENSMUSG00000045284"	48	55	88	59	46	34	132	168	181	183	44	48	84	145	50	147	38	149
"ENSMUSG00000045287"	200	292	399	324	112	250	366	462	528	844	334	293	433	618	229	671	136	840
"ENSMUSG00000045288"	0	1	0	0	0	0	0	0	0	11	0	0	0	1	0	1	0	0
"ENSMUSG00000045291"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
"ENSMUSG00000045294"	325	400	636	357	153	243	486	514	679	1613	392	463	608	1495	324	807	179	1122
"ENSMUSG00000045302"	248	303	430	422	110	253	301	378	565	642	192	183	269	396	199	409	83	615
"ENSMUSG00000045306"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045312"	211	268	270	496	195	208	559	585	1092	835	288	271	454	563	225	659	147	823
"ENSMUSG00000045314"	0	1	0	0	1	0	0	2	0	3	0	0	0	0	0	1	0	0
"ENSMUSG00000045316"	282	539	467	732	175	516	573	1012	1210	817	406	421	510	972	417	641	172	849
"ENSMUSG00000045318"	0	2	2	0	1	0	1	2	0	1	1	1	1	1	0	4	0	0
"ENSMUSG00000045319"	203	483	382	156	85	243	397	313	470	403	161	255	131	317	221	317	42	241
"ENSMUSG00000045322"	8	3	9	13	4	5	13	10	31	12	2	3	2	9	9	11	2	29
"ENSMUSG00000045326"	4	2	0	1	2	0	2	0	4	0	0	1	0	0	0	0	0	2
"ENSMUSG00000045327"	2	7	6	2	0	2	3	23	24	7	5	2	2	2	2	6	0	6
"ENSMUSG00000045328"	632	878	565	271	109	191	683	739	1560	1487	581	631	583	1164	485	896	189	1878
"ENSMUSG00000045330"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045331"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045333"	21	57	36	83	29	35	91	93	139	161	45	54	90	116	51	131	23	123
"ENSMUSG00000045336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045337"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
